customer_id,customer_fname,customer_lname,customer_segment,customer_city,customer_state,customer_country,customer_zipcode
1,Richard,Hernandez,Consumer,Brownsville,TX,"EE. UU.",78521.00
2,Mary,Barrett,Consumer,Littleton,CO,"EE. UU.",80126.00
3,Ann,Smith,Consumer,Caguas,PR,"Puerto Rico",725.00
4,Mary,Jones,Consumer,"San Marcos",CA,"EE. UU.",92069.00
5,Robert,Hudson,"Home Office",Caguas,PR,"Puerto Rico",725.00
6,Mary,Smith,Consumer,Passaic,NJ,"EE. UU.",7055.00
7,Melissa,Wilcox,Corporate,Caguas,PR,"Puerto Rico",725.00
8,Megan,Smith,Corporate,Lawrence,MA,"EE. UU.",1841.00
9,Mary,Perez,Consumer,Caguas,PR,"Puerto Rico",725.00
10,Melissa,Smith,Corporate,Stafford,VA,"EE. UU.",22554.00
11,Mary,Huffman,Consumer,Caguas,PR,"Puerto Rico",725.00
12,Christopher,Smith,Corporate,"San Antonio",TX,"EE. UU.",78227.00
13,Mary,Baldwin,"Home Office",Caguas,PR,"Puerto Rico",725.00
14,Katherine,Smith,Corporate,"Pico Rivera",CA,"EE. UU.",90660.00
15,Jane,Luna,Corporate,Fontana,CA,"EE. UU.",92336.00
16,Tiffany,Smith,Corporate,Caguas,PR,"Puerto Rico",725.00
17,Mary,Robinson,Consumer,Taylor,MI,"EE. UU.",48180.00
18,Robert,Smith,Consumer,Martinez,CA,"EE. UU.",94553.00
19,Stephanie,Mitchell,"Home Office",Caguas,PR,"Puerto Rico",725.00
20,Mary,Ellis,Consumer,"West New York",NJ,"EE. UU.",7093.00
21,William,Zimmerman,Consumer,Caguas,PR,"Puerto Rico",725.00
22,Joseph,Smith,Corporate,"North Bergen",NJ,"EE. UU.",7047.00
23,Benjamin,Duarte,Corporate,"San Juan",PR,"Puerto Rico",921.00
24,Mary,Smith,"Home Office",Caguas,PR,"Puerto Rico",725.00
25,Paul,Richardson,"Home Office",Peoria,AZ,"EE. UU.",85345.00
26,Johnny,Hood,Consumer,Glenview,IL,"EE. UU.",60025.00
27,Mary,Vincent,Consumer,Caguas,PR,"Puerto Rico",725.00
28,Timothy,Smith,Consumer,Longview,WA,"EE. UU.",98632.00
29,Mary,Humphrey,Consumer,"Fort Worth",TX,"EE. UU.",76133.00
30,Barbara,Smith,"Home Office",Caguas,PR,"Puerto Rico",725.00
31,Mary,Byrd,Consumer,Albuquerque,NM,"EE. UU.",87111.00
32,Alice,Smith,Corporate,Caguas,PR,"Puerto Rico",725.00
33,Adam,Petersen,Consumer,Norfolk,VA,"EE. UU.",23503.00
34,Mary,Smith,Corporate,Caguas,PR,"Puerto Rico",725.00
35,Margaret,Wright,Consumer,Oceanside,CA,"EE. UU.",92056.00
36,Michelle,Carey,Corporate,Caguas,PR,"Puerto Rico",725.00
37,Virginia,Conrad,Consumer,Norfolk,VA,"EE. UU.",23503.00
38,Mary,Smith,Consumer,Opelousas,LA,"EE. UU.",70570.00
39,Juan,Mckinney,Consumer,Caguas,PR,"Puerto Rico",725.00
40,Mary,Smith,Consumer,"Long Beach",CA,"EE. UU.",90805.00
41,Victoria,Mason,Consumer,Brooklyn,NY,"EE. UU.",11230.00
42,Ethan,Smith,Consumer,Duluth,GA,"EE. UU.",30096.00
43,Mary,Herring,Corporate,Caguas,PR,"Puerto Rico",725.00
44,Howard,Smith,Corporate,Napa,CA,"EE. UU.",94558.00
45,Mary,Nunez,Consumer,Denver,CO,"EE. UU.",80231.00
46,Jennifer,Smith,Consumer,Freeport,NY,"EE. UU.",11520.00
47,Lori,Fuller,"Home Office",Caguas,PR,"Puerto Rico",725.00
48,Mary,Cowan,Consumer,Strongsville,OH,"EE. UU.",44136.00
49,Martha,Smith,Consumer,Caguas,PR,"Puerto Rico",725.00
